id,year_joined,start_month,recruitment_channel,awards,fte
717,2010.0,10,Referred by employees,3,1
718,2010.0,2,Job Boards,3,1
719,2007.0,5,Career Site,1,1
720,2011.0,3,Referred by employees,3,0.5
721,2007.0,5,Referred by employees,5,1
722,2013.0,7,Referred by employees,1,0.5
723,2009.0,9,Job Boards,4,0.5
724,2010.0,7,Referred by employees,5,1
725,2015.0,2,Career Site,2,0.25
726,2012.0,1,Career Site,1,1
727,2015.0,7,Job Boards,4,0.5
728,2014.0,7,Referred by employees,2,1
729,2012.0,7,Career Site,1,0.5
730,2013.0,11,Career Site,1,1
731,2014.0,6,Referred by employees,4,0.25
732,2012.0,6,Referred by employees,0,1
733,2011.0,7,Referred by employees,2,1
734,2016.0,10,Referred by employees,4,1
735,2006.0,4,Referred by employees,1,1
736,2014.0,12,Career Site,4,0.5
737,2012.0,1,Career Site,4,0.5
738,2011.0,9,Job Boards,1,0.5
739,2014.0,11,Career Site,0,0.5
740,2016.0,2,Referred by employees,3,0.5
741,2007.0,9,Job Boards,5,0.5
742,2011.0,12,Job Boards,4,0.5
743,2012.0,9,Referred by employees,0,1
744,2009.0,2,Job Boards,0,1
745,2011.0,9,Job Boards,4,1
746,2012.0,9,Job Boards,4,1
747,2015.0,4,Job Boards,1,1
748,2006.0,1,Career Site,2,0.5
749,2012.0,9,Referred by employees,5,1
750,2016.0,11,Career Site,4,1
751,2012.0,9,Career Site,3,0.25
752,2016.0,6,Job Boards,4,1
753,2010.0,3,Referred by employees,0,1
754,2008.0,6,Career Site,3,0.25
755,2010.0,10,Job Boards,2,0.25
756,2005.0,12,Job Boards,5,1
757,2010.0,12,Career Site,0,1
758,2016.0,1,Referred by employees,1,1
759,2008.0,5,Job Boards,5,0.25
760,2010.0,1,Job Boards,5,1
761,2012.0,10,Career Site,2,0.5
762,2007.0,7,Job Boards,3,1
763,2015.0,8,Career Site,3,0.25
764,2012.0,8,Career Site,0,1
765,2010.0,9,Job Boards,0,1
766,2016.0,10,Referred by employees,1,1
767,2014.0,6,Referred by employees,1,1
768,2012.0,3,Job Boards,2,1
769,2009.0,2,Job Boards,3,1
770,2017.0,8,Career Site,5,1
771,2016.0,2,Job Boards,4,1
772,2005.0,4,Referred by employees,3,1
773,2009.0,8,Career Site,1,1
774,2016.0,10,Job Boards,4,1
775,2017.0,9,Referred by employees,3,1
776,2017.0,5,Job Boards,2,0.5
777,2014.0,2,Job Boards,1,0.5
778,2009.0,4,Career Site,3,0.25
779,2007.0,11,Referred by employees,0,0.5
780,2010.0,10,Job Boards,1,1
781,2012.0,10,Referred by employees,3,1
782,2015.0,3,Referred by employees,1,1
783,2011.0,1,Career Site,4,1
784,2008.0,8,Career Site,3,1
785,2008.0,11,Referred by employees,5,1
786,2013.0,10,Career Site,0,0.5
787,2013.0,10,Career Site,5,1
788,2010.0,12,Career Site,4,1
789,2013.0,3,Job Boards,0,1
790,2015.0,1,Career Site,5,1
791,2011.0,11,Career Site,1,1
792,2007.0,9,Referred by employees,0,1
793,2007.0,5,Job Boards,5,1
794,2013.0,12,Career Site,4,0.5
795,2005.0,8,Referred by employees,2,0.25
796,2008.0,6,Referred by employees,2,1
797,2007.0,5,Career Site,2,1
798,2006.0,4,Career Site,3,1
799,2009.0,5,Career Site,5,1
800,2012.0,8,Referred by employees,4,1
801,2014.0,12,Career Site,2,1
802,2009.0,4,Referred by employees,4,0.5
803,2012.0,2,Job Boards,0,1
804,2017.0,5,Career Site,4,1
805,2017.0,12,Referred by employees,3,1
806,2012.0,8,Career Site,5,0.5
807,2013.0,4,Referred by employees,4,0.5
808,2011.0,12,Job Boards,2,1
809,2016.0,1,Job Boards,1,0.5
810,2012.0,5,Job Boards,2,1
811,2011.0,6,Referred by employees,3,0.25
812,2011.0,8,Referred by employees,3,1
813,2011.0,4,Career Site,4,1
814,2014.0,4,Job Boards,4,1
815,2008.0,3,Referred by employees,4,0.25
816,2015.0,4,Referred by employees,0,1
817,2009.0,5,Career Site,0,1
818,2017.0,8,Job Boards,3,1
819,2009.0,5,Referred by employees,4,1
820,2016.0,10,Referred by employees,4,1
821,2008.0,3,Job Boards,3,0.5
822,2014.0,4,Referred by employees,0,0.5
823,2011.0,2,Job Boards,2,1
824,2015.0,7,Referred by employees,0,1
825,2016.0,7,Career Site,2,1
826,2014.0,4,Referred by employees,0,1
827,2014.0,1,Referred by employees,5,1
828,2014.0,5,Job Boards,0,1
829,2008.0,7,Referred by employees,2,1
830,2007.0,4,Career Site,0,1
831,2011.0,6,Referred by employees,5,1
832,2009.0,8,Job Boards,4,1
833,2012.0,7,Referred by employees,3,1
834,2008.0,2,Career Site,2,1
835,2012.0,2,Referred by employees,4,1
836,2011.0,1,Referred by employees,4,1
837,2015.0,12,Career Site,0,1
838,2011.0,2,Career Site,3,1
839,2016.0,6,Referred by employees,1,1
840,2016.0,4,Career Site,5,1
841,2015.0,12,Job Boards,3,0.5
842,2014.0,10,Job Boards,5,1
843,2006.0,9,Career Site,3,1
844,2009.0,4,Career Site,5,1
845,2015.0,12,Career Site,4,0.5
846,2012.0,4,Job Boards,4,1
847,2013.0,12,Career Site,3,1
848,2011.0,2,Referred by employees,2,1
849,2017.0,8,Referred by employees,0,1
850,2012.0,3,Job Boards,0,1
851,2014.0,10,Referred by employees,4,1
852,2008.0,6,Career Site,4,1
853,2014.0,7,Career Site,0,1
854,2014.0,7,Job Boards,4,1
855,2009.0,6,Career Site,3,1
856,2012.0,9,Referred by employees,3,0.5
857,2012.0,10,Referred by employees,4,1
858,2010.0,8,Referred by employees,0,1
859,2012.0,10,Job Boards,1,1
860,2011.0,1,Job Boards,4,1
861,2014.0,8,Career Site,4,1
862,2013.0,10,Referred by employees,1,1
863,2012.0,3,Referred by employees,5,1
864,2016.0,8,Career Site,5,1
865,2016.0,5,Job Boards,5,1
866,2010.0,10,Career Site,3,1
867,2017.0,3,Referred by employees,2,1
868,2009.0,1,Job Boards,5,1
869,2014.0,3,Referred by employees,3,1
870,2011.0,6,Career Site,3,1
871,2010.0,5,Job Boards,1,1
872,2010.0,8,Career Site,3,0.5
873,2017.0,6,Job Boards,5,1
874,2011.0,2,Referred by employees,0,1
875,2015.0,8,Job Boards,0,1
876,2011.0,3,Job Boards,3,0.5
877,2006.0,8,Career Site,3,1
878,2012.0,5,Job Boards,5,1
879,2011.0,6,Referred by employees,1,0.5
880,2015.0,1,Job Boards,3,1
881,2011.0,6,Job Boards,0,1
882,2012.0,5,Career Site,4,1
883,2013.0,9,Referred by employees,4,1
884,2012.0,6,Job Boards,0,1
885,2012.0,11,Job Boards,0,1
886,2011.0,3,Job Boards,0,0.5
887,2012.0,9,Career Site,5,0.5
888,2009.0,9,Referred by employees,1,1
889,2011.0,8,Career Site,2,1
890,2016.0,1,Career Site,1,1
891,2011.0,10,Referred by employees,5,1
892,2013.0,12,Referred by employees,4,1
893,2009.0,8,Job Boards,1,1
894,2013.0,5,Job Boards,2,1
895,2010.0,5,Job Boards,5,1
896,2017.0,5,Referred by employees,3,1
897,2011.0,7,Referred by employees,3,1
898,2011.0,9,Career Site,3,1
899,2008.0,2,Job Boards,0,1
900,2009.0,11,Referred by employees,4,1
901,2010.0,3,Career Site,1,1
902,2014.0,5,Job Boards,2,1
903,2009.0,9,Job Boards,5,0.25
904,2011.0,7,Referred by employees,1,1
905,2009.0,9,Career Site,1,1
906,2010.0,11,Job Boards,1,1
907,2015.0,4,Referred by employees,2,1
908,2006.0,8,Job Boards,0,1
909,2016.0,2,Referred by employees,3,1
910,2011.0,4,Career Site,3,1
911,2014.0,9,Career Site,1,0.5
912,2013.0,9,Career Site,4,1
913,2011.0,5,Referred by employees,0,0.5
914,2016.0,2,Referred by employees,5,1
915,2012.0,5,Job Boards,0,0.5
916,2018.0,12,Job Boards,4,1
917,2017.0,9,Career Site,1,1
918,2016.0,9,Job Boards,0,1
919,2006.0,11,Job Boards,3,0.5
920,2013.0,6,Referred by employees,1,0.5
921,2012.0,1,Job Boards,3,0.25
922,2010.0,10,Referred by employees,1,1
923,2017.0,1,Job Boards,2,1
924,2011.0,6,Career Site,5,0.5
925,2010.0,12,Career Site,0,0.5
926,2013.0,2,Referred by employees,5,1
927,2010.0,2,Job Boards,0,1
928,2009.0,6,Referred by employees,0,0.5
929,2010.0,8,Career Site,1,1
930,2011.0,9,Career Site,1,1
931,2017.0,9,Career Site,4,1
932,2008.0,9,Job Boards,5,0.25
933,2012.0,3,Job Boards,5,1
934,2015.0,3,Job Boards,2,1
935,2007.0,3,Job Boards,2,1
936,2008.0,12,Job Boards,2,0.5
937,2018.0,12,Referred by employees,0,0.5
938,2012.0,3,Career Site,5,1
939,2014.0,11,Referred by employees,3,1
940,2013.0,9,Job Boards,0,0.5
941,2010.0,7,Referred by employees,2,1
942,2010.0,10,Career Site,0,0.5
943,2007.0,12,Job Boards,4,1
944,2008.0,5,Referred by employees,4,0.25
945,2009.0,9,Referred by employees,0,1
946,2010.0,11,Job Boards,5,1
947,2012.0,7,Career Site,1,1
948,2012.0,12,Referred by employees,0,0.5
949,2010.0,8,Job Boards,4,0.5
950,2015.0,8,Job Boards,0,0.5
951,2010.0,7,Career Site,0,1
952,2012.0,3,Job Boards,2,1
953,2010.0,4,Job Boards,2,1
954,2012.0,9,Referred by employees,1,1
955,2007.0,3,Job Boards,1,1
956,2013.0,12,Career Site,2,1
957,2013.0,5,Job Boards,3,1
958,2011.0,6,Job Boards,3,1
959,2012.0,11,Career Site,1,1
960,2014.0,4,Referred by employees,3,1
961,2005.0,9,Career Site,5,1
962,2014.0,12,Job Boards,0,1
963,2015.0,5,Job Boards,0,1
964,2005.0,3,Career Site,4,0.5
965,2010.0,9,Career Site,5,1
966,2010.0,5,Referred by employees,2,1
967,2015.0,9,Referred by employees,0,0.5
968,2008.0,6,Referred by employees,0,0.25
969,2012.0,5,Job Boards,3,0.5
970,2011.0,5,Career Site,0,1
971,2013.0,9,Job Boards,4,1
972,2011.0,7,Referred by employees,3,1
973,2007.0,2,Job Boards,5,1
974,2017.0,10,Referred by employees,1,1
975,2006.0,2,Referred by employees,1,1
976,2015.0,7,Referred by employees,0,1
977,2016.0,1,Career Site,5,1
978,2012.0,8,Career Site,2,0.5
979,2008.0,3,Referred by employees,1,0.5
980,2014.0,2,Referred by employees,5,0.5
981,2011.0,1,Career Site,5,1
982,2008.0,2,Referred by employees,3,1
983,2010.0,11,Job Boards,0,0.5
984,2011.0,7,Referred by employees,3,0.5
985,2016.0,11,Job Boards,2,1
986,2008.0,9,Referred by employees,3,1
987,2011.0,3,Referred by employees,3,1
988,2013.0,12,Referred by employees,3,1
989,2016.0,10,Career Site,4,1
990,2015.0,9,Career Site,2,1
991,2011.0,1,Job Boards,4,1
992,2011.0,8,Referred by employees,0,1
993,2017.0,2,Referred by employees,0,1
994,2006.0,7,Career Site,2,0.25
995,2010.0,2,Referred by employees,1,1
996,2008.0,9,Referred by employees,4,0.5
997,2012.0,1,Job Boards,3,1
998,2010.0,8,Career Site,4,0.5
999,2008.0,12,Job Boards,2,0.5
1000,2015.0,7,Career Site,1,0.5
